Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Lande	Reference
"3d7.(4F).4p"	"y 3D*"	"2"	5	""	"38678.039"	""	"0.001"	"1.151"	""
"3d7.(4F).4p"	"y 3D*"	"1"	3	""	"38995.736"	""	"0.001"	"0.493"	""
"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"4"	9	""	"39625.804"	""	"0.001"	"1.489"	""
"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"3"	7	""	"39969.853"	""	"0.001"	"1.504"	""
"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"2"	5	""	"40231.336"	""	"0.001"	"1.501"	""
"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"1"	3	""	"40404.518"	""	"0.001"	"1.498"	""
"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"0"	1	""	"40491.284"	""	"0.001"	""	""
"3d5.(6S).4s2.4p"	"y 7P*"	"2"	5	""	"40052.035"	""	"0.001"	"2.340"	""
"3d5.(6S).4s2.4p"	"y 7P*"	"3"	7	""	"40207.091"	""	"0.001"	"1.908"	""
"3d5.(6S).4s2.4p"	"y 7P*"	"4"	9	""	"40421.938"	""	"0.001"	"1.75?"	""
"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"5"	11	""	"40257.314"	""	"0.001"	"1.390"	""
"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"4"	9	""	"40594.432"	""	"0.001"	"1.328"	""
"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"3"	7	""	"40842.154"	""	"0.001"	"1.254"	""
"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"2"	5	""	"41018.051"	""	"0.001"	"0.998"	""
"3d6.(5D).4s.4p.(1P*)"	"x 5F*"	"1"	3	""	"41130.599"	""	"0.001"	"-0.006"	""
"3d8"	"3P"	"2"	5	""	"40871.412"	""	"0.001"	""	""
"3d8"	"3P"	"1"	3	""	"41178.412"	""	"0.001"	""	""
"3d8"	"3P"	"0"	1	""	"41234.505"	""	"0.001"	""	""
"3d6.(3P2).4s.4p.(3P*)"	"z 5S*"	"2"	5	""	"40894.990"	""	"0.001"	"1.985"	""
"3d6.(3P2).4s.4p.(3P*)"	"x 5P*"	"3"	7	""	"42532.741"	""	"0.001"	"1.650"	""
"3d6.(3P2).4s.4p.(3P*)"	"x 5P*"	"2"	5	""	"42859.778"	""	"0.002"	"1.822"	""
"3d6.(3P2).4s.4p.(3P*)"	"x 5P*"	"1"	3	""	"43079.023"	""	"0.002"	"2.464"	""
"3d6.(3H).4s.4p.(3P*)"	"y 5G*"	"6"	13	""	"42784.352"	""	"0.002"	"1.342"	""
"3d6.(3H).4s.4p.(3P*)"	"y 5G*"	"5"	11	""	"42911.917"	""	"0.001"	"1.203"	""
"3d6.(3H).4s.4p.(3P*)"	"y 5G*"	"4"	9	""	"43022.985"	""	"0.002"	"1.024"	""
"3d6.(3H).4s.4p.(3P*)"	"y 5G*"	"3"	7	""	"43137.487"	""	"0.001"	"0.905"	""
"3d6.(3H).4s.4p.(3P*)"	"y 5G*"	"2"	5	""	"43210.025"	""	"0.002"	"0.331"	""
"3d6.(5D).4s (6D).5s"	"e 7D"	"5"	11	""	"42815.855"	""	"0.001"	"1.585"	""
"3d6.(5D).4s (6D).5s"	"e 7D"	"4"	9	""	"43163.326"	""	"0.001"	"1.655"	""
"3d6.(5D).4s (6D).5s"	"e 7D"	"3"	7	""	"43434.627"	""	"0.001"	"1.755"	""
"3d6.(5D).4s (6D).5s"	"e 7D"	"2"	5	""	"43633.533"	""	"0.001"	"2.009"	""
"3d6.(5D).4s (6D).5s"	"e 7D"	"1"	3	""	"43763.980"	""	"0.001"	"3.002"	""
"3d6.(3H).4s.4p.(3P*)"	"z 5I*"	"6"	13	""	"42903.861"	""	"0.002"	""	""
"3d6.(3H).4s.4p.(3P*)"	"z 5I*"	"4"	9	""	"43442.705"	""	"0.003"	""	""
"3d6.(3H).4s.4p.(3P*)"	"z 5I*"	"5"	11	""	"43460.121"	""	"0.002"	""	""
"3d6.(3H).4s.4p.(3P*)"	"z 5H*"	"5"	11	""	"42991.697"	""	"0.002"	"1.054"	""
"3d6.(3H).4s.4p.(3P*)"	"z 5H*"	"4"	9	""	"43108.917"	""	"0.001"	"0.871"	""
"3d6.(3H).4s.4p.(3P*)"	"z 5H*"	"6"	13	""	"43321.096"	"?"	"0.005"	""	""
"3d6.(3H).4s.4p.(3P*)"	"z 5H*"	"3"	7	""	"43325.964"	""	"0.002"	"0.509"	""
"3d6.(3P2).4s.4p.(3P*)"	"w 5D*"	"4"	9	""	"43499.505"	""	"0.001"	"1.492"	""
"3d6.(3P2).4s.4p.(3P*)"	"w 5D*"	"3"	7	""	"43922.668"	""	"0.001"	"1.481"	""
"3d6.(3P2).4s.4p.(3P*)"	"w 5D*"	"2"	5	""	"44183.628"	""	"0.001"	"1.533"	""
"3d6.(3P2).4s.4p.(3P*)"	"w 5D*"	"1"	3	""	"44411.160"	""	"0.001"	"1.315"	""
"3d6.(3P2).4s.4p.(3P*)"	"w 5D*"	"0"	1	""	"44458.934"	""	"0.001"	""	""
"3d6.(3F2).4s.4p.(3P*)"	"v 5D*"	"4"	9	""	"44022.525"	""	"0.001"	"1.444"	""
"3d6.(3F2).4s.4p.(3P*)"	"v 5D*"	"3"	7	""	"44166.206"	""	"0.001"	"1.351"	""
"3d6.(3F2).4s.4p.(3P*)"	"v 5D*"	"2"	5	""	"44664.075"	""	"0.001"	"1.378"	""
"3d6.(3F2).4s.4p.(3P*)"	"v 5D*"	"1"	3	""	"44760.746"	""	"0.001"	"1.389"	""
"3d6.(3F2).4s.4p.(3P*)"	"v 5D*"	"0"	1	""	"44826.900"	""	"0.002"	""	""
"3d6.(3F2).4s.4p.(3P*)"	"w 5F*"	"5"	11	""	"44243.685"	""	"0.002"	"1.382"	""
"3d6.(3F2).4s.4p.(3P*)"	"w 5F*"	"2"	5	""	"44285.454"	""	"0.002"	"1.117"	""
"3d6.(3F2).4s.4p.(3P*)"	"w 5F*"	"1"	3	""	"44378.342"	""	"0.002"	"0.283"	""
"3d6.(3F2).4s.4p.(3P*)"	"w 5F*"	"4"	9	""	"44415.074"	""	"0.001"	"1.401"	""
"3d6.(3F2).4s.4p.(3P*)"	"w 5F*"	"3"	7	""	"44551.335"	""	"0.002"	"1.386"	""
"3d7.(4P).4p"	"y 5S*"	"2"	5	""	"44511.812"	""	"0.001"	"1.888"	""
"3d6.(5D).4s (6D).5s"	"e 5D"	"4"	9	""	"44677.006"	""	"0.001"	"1.502"	""
"3d6.(5D).4s (6D).5s"	"e 5D"	"3"	7	""	"45061.329"	""	"0.001"	"1.508"	""
"3d6.(5D).4s (6D).5s"	"e 5D"	"2"	5	""	"45333.875"	""	"0.001"	"1.503"	""
"3d6.(5D).4s (6D).5s"	"e 5D"	"1"	3	""	"45509.152"	""	"0.001"	"1.518"	""
"3d6.(5D).4s (6D).5s"	"e 5D"	"0"	1	""	"45595.086"	""	"0.001"	""	""
"3d6.(3P2).4s.4p.(3P*)"	"x 3D*"	"3"	7	""	"45220.681"	""	"0.001"	"1.352"	""
"3d6.(3P2).4s.4p.(3P*)"	"x 3D*"	"2"	5	""	"45281.833"	""	"0.001"	"1.200"	""
"3d6.(3P2).4s.4p.(3P*)"	"x 3D*"	"1"	3	""	"45551.767"	""	"0.001"	"0.556"	""
"3d6.(3H).4s.4p.(3P*)"	"y 3G*"	"5"	11	""	"45294.846"	""	"0.001"	"1.207"	""
"3d6.(3H).4s.4p.(3P*)"	"y 3G*"	"4"	9	""	"45428.402"	""	"0.001"	"1.053"	""
"3d6.(3H).4s.4p.(3P*)"	"y 3G*"	"3"	7	""	"45562.974"	""	"0.001"	"0.765"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 5G*"	"6"	13	""	"45608.361"	""	"0.002"	"1.336"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 5G*"	"5"	11	""	"45726.130"	""	"0.001"	"1.269"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 5G*"	"4"	9	""	"45833.223"	""	"0.002"	"1.158"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 5G*"	"3"	7	""	"45913.497"	""	"0.003"	"0.928"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 5G*"	"2"	5	""	"45964.957"	""	"0.002"	"0.323"	""
"3d6.(3H).4s.4p.(3P*)"	"z 3I*"	"7"	15	""	"45978.008"	""	"0.002"	"1.149"	""
"3d6.(3H).4s.4p.(3P*)"	"z 3I*"	"6"	13	""	"46026.971"	""	"0.002"	"1.040"	""
"3d6.(3H).4s.4p.(3P*)"	"z 3I*"	"5"	11	""	"46135.820"	""	"0.002"	"0.833"	""
"3d7.(4P).4p"	"w 5P*"	"3"	7	""	"46137.097"	""	"0.001"	"1.658"	""
"3d7.(4P).4p"	"w 5P*"	"2"	5	""	"46313.537"	""	"0.001"	"1.822"	""
"3d7.(4P).4p"	"w 5P*"	"1"	3	""	"46410.381"	""	"0.002"	"2.436"	""
"3d6.(3P2).4s.4p.(3P*)"	"z 3S*"	"1"	3	""	"46600.818"	""	"0.001"	"1.888"	""
"3d6.(3P2).4s.4p.(3P*)"	"y 3P*"	"0"	1	""	"46672.540"	""	"0.003"	""	""
"3d6.(3P2).4s.4p.(3P*)"	"y 3P*"	"2"	5	""	"46727.074"	""	"0.001"	"1.444"	""
"3d6.(3P2).4s.4p.(3P*)"	"y 3P*"	"1"	3	""	"46901.832"	""	"0.001"	"1.600"	""
"3d7.(4P).4p"	"u 5D*"	"4"	9	""	"46720.842"	""	"0.001"	"1.341"	""
"3d7.(4P).4p"	"u 5D*"	"3"	7	""	"46744.993"	""	"0.001"	"1.397"	""
"3d7.(4P).4p"	"u 5D*"	"2"	5	""	"46888.517"	""	"0.001"	"1.260"	""
"3d7.(4P).4p"	"u 5D*"	"0"	1	""	"47171.531"	""	"0.002"	""	""
"3d7.(4P).4p"	"u 5D*"	"1"	3	""	"47177.234"	""	"0.001"	"1.410"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 3F*"	"4"	9	""	"46889.142"	""	"0.001"	"1.344"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 3F*"	"3"	7	""	"47092.712"	""	"0.001"	"1.159"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 3F*"	"2"	5	""	"47197.010"	""	"0.001"	"0.743"	""
"3d6.(3H).4s.4p.(3P*)"	"z 3H*"	"6"	13	""	"46982.320"	""	"0.002"	"1.200"	""
"3d6.(3H).4s.4p.(3P*)"	"z 3H*"	"5"	11	""	"47008.371"	""	"0.001"	"1.060"	""
"3d6.(3H).4s.4p.(3P*)"	"z 3H*"	"4"	9	""	"47106.484"	""	"0.001"	"0.880"	""
"3d7.(4F).5s"	"e 5F"	"5"	11	""	"47005.506"	""	"0.001"	"1.421"	""
"3d7.(4F).5s"	"e 5F"	"4"	9	""	"47377.955"	""	"0.001"	"1.331"	""
"3d7.(4F).5s"	"e 5F"	"3"	7	""	"47755.537"	""	"0.001"	"1.236"	""
"3d7.(4F).5s"	"e 5F"	"2"	5	""	"48036.673"	""	"0.001"	"0.991"	""
"3d7.(4F).5s"	"e 5F"	"1"	3	""	"48221.324"	""	"0.001"	"0.007"	""
"3d7.(4P).4p"	"w 3D*"	"3"	7	""	"47017.188"	""	"0.001"	"1.346"	""
"3d7.(4P).4p"	"w 3D*"	"2"	5	""	"47136.084"	""	"0.001"	"1.216"	""
"3d7.(4P).4p"	"w 3D*"	"1"	3	""	"47272.027"	""	"0.001"	"0.767"	""
"3d6.(3G).4s.4p.(3P*)"	"w 5G*"	"6"	13	""	"47363.376"	""	"0.002"	"1.306"	""
"3d6.(3G).4s.4p.(3P*)"	"w 5G*"	"5"	11	""	"47420.228"	""	"0.001"	"1.305"	""
"3d6.(3G).4s.4p.(3P*)"	"w 5G*"	"4"	9	""	"47590.048"	""	"0.001"	"1.145"	""
"3d6.(3G).4s.4p.(3P*)"	"w 5G*"	"3"	7	""	"47693.239"	""	"0.001"	"0.931"	""
"3d6.(3G).4s.4p.(3P*)"	"w 5G*"	"2"	5	""	"47831.153"	""	"0.001"	"0.472"	""
"3d6.(3P2).4s.4p.(3P*)"	"1D*"	"2"	5	""	"47419.687"	""	"0.001"	"1.137"	""
"3d7.(2G).4p"	"z 1G*"	"4"	9	""	"47452.717"	""	"0.001"	"1.025"	""
"3d7.(4P).4p"	"y 3S*"	"1"	3	""	"47555.610"	""	"0.001"	"1.884"	""
"3d6.(3G).4s.4p.(3P*)"	"v 5F*"	"5"	11	""	"47606.114"	""	"0.001"	"1.317"	""
"3d6.(3G).4s.4p.(3P*)"	"v 5F*"	"4"	9	""	"47929.997"	""	"0.001"	"1.264"	""
"3d6.(3G).4s.4p.(3P*)"	"v 5F*"	"3"	7	""	"48122.928"	""	"0.001"	"1.236"	""
"3d6.(3G).4s.4p.(3P*)"	"v 5F*"	"2"	5	""	"48238.847"	""	"0.001"	"1.267"	""
"3d6.(3G).4s.4p.(3P*)"	"v 5F*"	"1"	3	""	"48350.606"	""	"0.001"	"0.230"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 3G*"	"4"	9	""	"47812.118"	""	"0.001"	"1.061"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 3G*"	"3"	7	""	"47834.221"	""	"0.002"	"0.668"	""
"3d6.(3F2).4s.4p.(3P*)"	"x 3G*"	"5"	11	""	"47834.550"	""	"0.001"	"1.203"	""
"3d6.(3G).4s.4p.(3P*)"	"y 5H*"	"6"	13	""	"47855.143"	""	"0.002"	""	""
"3d6.(3G).4s.4p.(3P*)"	"y 5H*"	"5"	11	""	"48231.280"	""	"0.001"	"1.27?"	""
"3d6.(3G).4s.4p.(3P*)"	"y 5H*"	"4"	9	""	"48361.882"	""	"0.001"	"0.934"	""
"3d6.(3G).4s.4p.(3P*)"	"y 5H*"	"3"	7	""	"48475.686"	""	"0.002"	"0.584"	""
"3d7.(4F).5s"	"e 3F"	"4"	9	""	"47960.940"	""	"0.001"	"1.288"	""
"3d7.(4F).5s"	"e 3F"	"3"	7	""	"48531.865"	""	"0.001"	"1.107"	""
"3d7.(4F).5s"	"e 3F"	"2"	5	""	"48928.388"	""	"0.001"	"0.622"	""
"3d5.(6S).4s2.4p"	"v 5P*"	"3"	7	""	"47966.585"	""	"0.001"	"1.646"	""
"3d5.(6S).4s2.4p"	"v 5P*"	"2"	5	""	"48163.446"	""	"0.001"	"1.740"	""
"3d5.(6S).4s2.4p"	"v 5P*"	"1"	3	""	"48289.871"	""	"0.001"	"2.213"	""
"3d6.(3H).4s.4p.(3P*)"	"1I*"	"6"	13	""	"48098.293"	""	"0.001"	""	""
"3d7.(4P).4p"	"x 3P*"	"2"	5	""	"48304.643"	""	"0.001"	"1.263"	""
"3d7.(4P).4p"	"x 3P*"	"0"	1	""	"48460.113"	""	"0.002"	""	""
"3d7.(4P).4p"	"x 3P*"	"1"	3	""	"48516.138"	""	"0.001"	"1.547"	""
"3d7.(2G).4p"	"z 1H*"	"5"	11	""	"48382.603"	""	"0.001"	"1.018"	""
"3d6.(3H).4s.4p.(3P*)"	"y 1G*"	"4"	9	""	"48702.535"	""	"0.001"	"1.063"	""
"3d7.(2G).4p"	"w 3F*"	"4"	9	""	"49108.896"	""	"0.001"	"1.181"	""
"3d7.(2G).4p"	"w 3F*"	"3"	7	""	"49242.886"	""	"0.001"	"1.165"	""
"3d7.(2G).4p"	"w 3F*"	"2"	5	""	"49433.131"	""	"0.002"	"0.677"	""
"3d6.(3F2).4s.4p.(3P*)"	"v 3D*"	"3"	7	""	"49135.023"	""	"0.001"	"1.211"	""
"3d6.(3F2).4s.4p.(3P*)"	"v 3D*"	"2"	5	""	"49242.621"	""	"0.001"	"0.954"	""
"3d6.(3F2).4s.4p.(3P*)"	"v 3D*"	"1"	3	""	"49297.635"	""	"0.002"	"0.562"	""
"3d6.(5D).4s (6D).5p"	"n 7D*"	"5"	11	""	"49352.341"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"n 7D*"	"4"	9	""	"49558.734"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"n 7D*"	"3"	7	""	"49805.257"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"n 7D*"	"2"	5	""	"50008.522"	""	"0.001"	""	""
"3d6.(5D).4s (6D).5p"	"n 7D*"	"1"	3	""	"50152.619"	""	"0.001"	""	""
"3d7.(2G).4p"	"y 3H*"	"6"	13	""	"49434.163"	""	"0.002"	"1.17?"	""
"3d7.(2G).4p"	"y 3H*"	"5"	11	""	"49604.427"	""	"0.002"	"1.075"	""
"3d7.(2G).4p"	"y 3H*"	"4"	9	""	"49726.990"	""	"0.002"	"0.929"	""
"3d7.(2G).4p"	"v 3G*"	"5"	11	""	"49460.902"	""	"0.001"	"1.163"	""
"3d7.(2G).4p"	"v 3G*"	"4"	9	""	"49627.884"	""	"0.001"	"0.914"	""
"3d7.(2G).4p"	"v 3G*"	"3"	7	""	"49850.590"	""	"0.001"	"0.763"	""
"3d6.(3F2).4s.4p.(3P*)"	"1F*"	"3"	7	""	"49477.127"	""	"0.001"	"0.92?"	""
"3d6.(5D).4s (6D).5p"	"n 7F*"	"6"	13	""	"49758.142"	""	"0.002"	""	""
