Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Lande	Reference
"3d6.4s.(6D).5d"	"5S"	"2"	5	""	"56720.409"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5F"	"3"	7	""	"56726.892"	""	"0.001"	""	""
"3d6.4s.(6D).5d"	"5F"	"5"	11	""	"56761.878"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5F"	"2"	5	""	"56952.213"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5F"	"1"	3	""	"57077.843"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5F"	"4"	9	""	"57125.250"	""	"0.002"	""	""
"3d6.4s.(6D).6p"	"5D*"	"4"	9	""	"56732.335"	""	"0.002"	""	""
"3d6.4s.(6D).6p"	"5D*"	"3"	7	""	"57168.531"	""	"0.002"	""	""
"3d6.4s.(6D).6p"	"5D*"	"1"	3	""	"57401.144"	""	"0.003"	""	""
"3d6.4s.(6D).6p"	"5D*"	"2"	5	""	"57415.757"	""	"0.001"	""	""
"3d6.4s.(6D).6p"	"5D*"	"0"	1	""	"57610.719"	""	"0.002"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[11/2]*"	"6"	13	""	"56748.901"	""	"0.001"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[11/2]*"	"5"	11	""	"56751.099"	""	"0.001"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[13/2]*"	"7"	15	""	"56754.132"	""	"0.002"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[13/2]*"	"6"	13	""	"56756.503"	""	"0.002"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[9/2]*"	"5"	11	""	"56754.726"	""	"0.001"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[9/2]*"	"4"	9	""	"56754.932"	""	"0.001"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[7/2]*"	"4"	9	""	"56764.767"	""	"0.001"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[7/2]*"	"3"	7	""	"56766.053"	""	"0.001"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[5/2]*"	"3"	7	""	"56777.262"	""	"0.001"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[5/2]*"	"2"	5	""	"56779.538"	""	"0.001"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[15/2]*"	"7"	15	""	"56778.773"	""	"0.003"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[15/2]*"	"8"	17	""	"56778.791"	""	"0.003"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[3/2]*"	"2"	5	""	"56789.699"	""	"0.002"	""	""
"3d6.4s.(6D<9/2>).4f"	"2[3/2]*"	"1"	3	""	"56791.623"	""	"0.002"	""	""
"3d7.(4F).6s"	"3F"	"4"	9	""	"56808.267"	""	"0.002"	""	""
"3d7.(4F).6s"	"3F"	"3"	7	""	"57218.827"	""	"0.002"	""	""
"3d7.(4F).6s"	"3F"	"2"	5	""	"57790.909"	""	"0.002"	""	""
"3d6.4s.(6D).6p"	"5P*"	"3"	7	""	"56871.345"	""	"0.003"	""	""
"3d6.4s.(6D).6p"	"5P*"	"2"	5	""	"57437.194"	""	"0.001"	""	""
"3d6.4s.(6D).6p"	"5P*"	"1"	3	""	"57741.472"	""	"0.003"	""	""
"3d7.(2H).4p"	"v 1G*"	"4"	9	""	"56951.301"	""	"0.003"	"1.053"	""
"3d6.(1I).4s.4p.(3P*)"	"x 3I*"	"7"	15	""	"57027.513"	""	"0.003"	"1.145"	""
"3d6.(1I).4s.4p.(3P*)"	"x 3I*"	"6"	13	""	"57070.171"	""	"0.003"	"1.028"	""
"3d6.(1I).4s.4p.(3P*)"	"x 3I*"	"5"	11	""	"57104.217"	""	"0.007"	"0.832"	""
"3d6.(3D).4s.4p.(1P*)"	"3D*"	"2"	5	""	"57074.915"	""	"0.002"	""	""
"3d6.(3D).4s.4p.(1P*)"	"3D*"	"3"	7	""	"57346.148"	""	"0.002"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[9/2]*"	"5"	11	""	"57145.784"	""	"0.001"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[9/2]*"	"4"	9	""	"57147.171"	""	"0.001"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[11/2]*"	"6"	13	""	"57146.772"	""	"0.001"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[11/2]*"	"5"	11	""	"57147.784"	""	"0.001"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[7/2]*"	"4"	9	""	"57149.113"	""	"0.001"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[7/2]*"	"3"	7	""	"57149.702"	""	"0.001"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[5/2]*"	"3"	7	""	"57149.845"	""	"0.002"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[5/2]*"	"2"	5	""	"57152.415"	""	"0.001"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[3/2]*"	"1"	3	""	"57152.267"	""	"0.002"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[3/2]*"	"2"	5	""	"57154.269"	""	"0.002"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[13/2]*"	"7"	15	""	"57152.335"	""	"0.002"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[13/2]*"	"6"	13	""	"57153.171"	""	"0.002"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[1/2]*"	"1"	3	""	"57154.996"	""	"0.003"	""	""
"3d6.4s.(6D<7/2>).4f"	"2[1/2]*"	"0"	1	""	"57156.059"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5P"	"3"	7	""	"57160.142"	""	"0.002"	""	""
"3d6.4s.(6D).5d"	"5P"	"2"	5	""	"57403.134"	""	"0.002"	""	""
"3d6.4s.(6D<5/2>).4f"	"2[1/2]*"	"1"	3	""	"57421.469"	""	"0.003"	""	""
"3d6.4s.(6D<5/2>).4f"	"2[3/2]*"	"1"	3	""	"57426.437"	""	"0.002"	""	""
"3d6.4s.(6D<5/2>).4f"	"2[3/2]*"	"2"	5	""	"57427.576"	""	"0.002"	""	""
"3d6.4s.(6D<5/2>).4f"	"2[11/2]*"	"6"	13	""	"57428.064"	""	"0.002"	""	""
"3d6.4s.(6D<5/2>).4f"	"2[11/2]*"	"5"	11	""	"57429.097"	""	"0.001"	""	""
"3d6.4s.(6D<5/2>).4f"	"2[5/2]*"	"2"	5	""	"57431.116"	""	"0.002"	""	""
"3d6.4s.(6D<5/2>).4f"	"2[5/2]*"	"3"	7	""	"57432.848"	""	"0.001"	""	""
"3d6.4s.(6D<5/2>).4f"	"2[7/2]*"	"4"	9	""	"57437.801"	""	"0.001"	""	""
"3d6.4s.(6D<5/2>).4f"	"2[7/2]*"	"3"	7	""	"57439.486"	""	"0.001"	""	""
"3d6.4s.(6D<5/2>).4f"	"2[9/2]*"	"5"	11	""	"57437.928"	""	"0.001"	""	""
"3d6.4s.(6D<5/2>).4f"	"2[9/2]*"	"4"	9	""	"57439.223"	""	"0.001"	""	""
"3d6.4s.(6D).5d"	"7S"	"3"	7	""	"57438.267"	""	"0.002"	""	""
"3d6.(3D).4s.4p.(3P*)"	"t 3F*"	"4"	9	""	"57550.010"	""	"0.003"	"1.235"	""
"3d6.(3D).4s.4p.(3P*)"	"t 3F*"	"3"	7	""	"57641.001"	""	"0.002"	""	""
"3d6.(3D).4s.4p.(3P*)"	"t 3F*"	"2"	5	""	"57708.741"	""	"0.003"	"0.698"	""
"3d6.(3P2).4s.4p.(1P*)"	"3D*"	"3"	7	""	"57565.305"	""	"0.002"	""	""
"3d6.4s.(6D<3/2>).4f"	"2[3/2]*"	"1"	3	""	"57617.009"	""	"0.003"	""	""
"3d6.4s.(6D<3/2>).4f"	"2[3/2]*"	"2"	5	""	"57618.806"	""	"0.002"	""	""
"3d6.4s.(6D<3/2>).4f"	"2[9/2]*"	"5"	11	""	"57620.792"	""	"0.002"	""	""
"3d6.4s.(6D<3/2>).4f"	"2[9/2]*"	"4"	9	""	"57621.928"	""	"0.002"	""	""
"3d6.4s.(6D<3/2>).4f"	"2[5/2]*"	"3"	7	""	"57631.095"	""	"0.001"	""	""
"3d6.4s.(6D<3/2>).4f"	"2[5/2]*"	"2"	5	""	"57632.654"	""	"0.001"	""	""
"3d6.4s.(6D<3/2>).4f"	"2[7/2]*"	"4"	9	""	"57641.219"	""	"0.001"	""	""
"3d6.4s.(6D<3/2>).4f"	"2[7/2]*"	"3"	7	""	"57642.383"	""	"0.001"	""	""
"3d6.4s.(4D).4d"	"5F"	"5"	11	""	"57660.953"	""	"0.003"	""	""
"3d6.4s.(4D).4d"	"5F"	"4"	9	""	"58118.875"	""	"0.003"	""	""
"3d6.4s.(4D).4d"	"5F"	"3"	7	""	"58132.081"	""	"0.003"	""	""
"3d6.4s.(4D).4d"	"5F"	"1"	3	""	"58363.424"	""	"0.005"	""	""
"3d6.4s.(4D).4d"	"5F"	"2"	5	""	"58512.387"	""	"0.004"	""	""
"3d6.(5D).4s (4D).4d"	"i 5D"	"4"	9	""	"57697.493"	""	"0.002"	"1.384"	""
"3d6.(5D).4s (4D).4d"	"i 5D"	"3"	7	""	"57813.942"	""	"0.002"	"1.415"	""
"3d6.(5D).4s (4D).4d"	"i 5D"	"2"	5	""	"57974.137"	""	"0.003"	""	""
"3d6.(5D).4s (4D).4d"	"i 5D"	"1"	3	""	"58283.204"	""	"0.003"	""	""
"3d6.4s.(6D<1/2>).4f"	"2[5/2]*"	"3"	7	""	"57743.052"	""	"0.002"	""	""
"3d6.4s.(6D<1/2>).4f"	"2[5/2]*"	"2"	5	""	"57743.370"	""	"0.002"	""	""
"3d6.4s.(6D<1/2>).4f"	"2[7/2]*"	"4"	9	""	"57743.133"	""	"0.001"	""	""
"3d6.4s.(6D<1/2>).4f"	"2[7/2]*"	"3"	7	""	"57744.932"	""	"0.001"	""	""
"3d6.4s.(4D).5p"	"5D*"	"4"	9	""	"57763.824"	""	"0.002"	""	""
"3d6.4s.(4D).5p"	"5D*"	"3"	7	""	"58033.506"	""	"0.001"	""	""
"3d6.4s.(4D).5p"	"5D*"	"2"	5	""	"58330.568"	""	"0.002"	""	""
"3d6.4s.(4D).5p"	"5D*"	"1"	3	""	"58520.003"	""	"0.009"	""	""
"3d6.(5D).4s (6D).7s"	"7D"	"5"	11	""	"57897.051"	""	"0.005"	""	""
"3d6.4s.(4D).5p"	"3F*"	"4"	9	""	"57917.254"	""	"0.003"	""	""
"3d6.4s.(4D).5p"	"3F*"	"2"	5	""	"58961.996"	""	"0.002"	""	""
"3d6.4s.(4D).5p"	"3F*"	"3"	7	""	"59089.628"	""	"0.003"	""	""
"3d6.4s.(4D).5p"	"3P*"	"2"	5	""	"57999.461"	""	"0.009"	""	""
"3d6.4s.(4D).5p"	"3P*"	"1"	3	""	"59343.807"	""	"0.002"	""	""
"3d6.(5D).4s (4D).4d"	"g 5G"	"6"	13	""	"58001.938"	""	"0.002"	"1.40?"	""
"3d6.(5D).4s (4D).4d"	"g 5G"	"5"	11	""	"58271.462"	""	"0.003"	""	""
"3d6.(5D).4s (4D).4d"	"g 5G"	"4"	9	""	"58520.163"	""	"0.002"	""	""
"3d6.(5D).4s (4D).4d"	"g 5G"	"3"	7	""	"58710.047"	""	"0.003"	""	""
"3d6.(5D).4s (4D).4d"	"g 5G"	"2"	5	""	"58824.845"	""	"0.003"	"0.343"	""
"3d6.(3H).4s.4p.(1P*)"	"3G*"	"5"	11	""	"58018.561"	""	"0.003"	""	""
"3d6.(3H).4s.4p.(1P*)"	"3G*"	"4"	9	""	"58334.613"	""	"0.003"	""	""
"3d6.(3H).4s.4p.(1P*)"	"3G*"	"3"	7	""	"58600.344"	""	"0.003"	""	""
"3d6.4s.(4D).5p"	"3D*"	"2"	5	""	"58132.249"	""	"0.002"	""	""
"3d6.4s.(4D).5p"	"3D*"	"3"	7	""	"58276.260"	""	"0.003"	""	""
"3d6.4s.(4D).5p"	"3D*"	"1"	3	""	"58394.864"	""	"0.002"	""	""
"3d6.4s.(4D).5p"	"5F*"	"5"	11	""	"58147.007"	""	"0.002"	""	""
"3d6.4s.(4D).5p"	"5F*"	"4"	9	""	"58481.301"	""	"0.002"	""	""
"3d6.4s.(4D).5p"	"5F*"	"3"	7	""	"58757.628"	""	"0.002"	""	""
"3d6.4s.(4D).5p"	"5F*"	"2"	5	""	"58906.116"	""	"0.002"	""	""
"3d6.4s.(4D).5p"	"5F*"	"1"	3	""	"58977.502"	""	"0.002"	""	""
"3d6.4s.(6D).7s"	"7D"	"4"	9	""	"58197.914"	""	"0.003"	""	""
"3d6.4s.(6D).7s"	"7D"	"3"	7	""	"58480.308"	""	"0.003"	""	""
"3d6.4s.(6D).7s"	"7D"	"2"	5	""	"58683.804"	""	"0.003"	""	""
"3d6.4s.(6D).7s"	"7D"	"1"	3	""	"58759.579"	""	"0.003"	""	""
"3d6.4s.(4D).4d"	"5P"	"2"	5	""	"58213.124"	""	"0.002"	""	""
"3d6.4s.(4D).4d"	"5P"	"3"	7	""	"58481.855"	""	"0.003"	""	""
"3d6.4s.(6D).7s"	"5D"	"4"	9	""	"58321.383"	""	"0.003"	""	""
"3d6.4s.(6D).7s"	"5D"	"3"	7	""	"58762.456"	""	"0.002"	""	""
"3d6.4s.(6D).7s"	"5D"	"2"	5	""	"59035.762"	""	"0.004"	""	""
"3d6.4s.(6D).7s"	"5D"	"1"	3	""	"59113.339"	""	"0.004"	""	""
"3d6.4s.(4D).4d"	"3G"	"5"	11	""	"58492.235"	""	"0.003"	""	""
"3d6.4s.(4D).4d"	"3G"	"4"	9	""	"58965.275"	""	"0.003"	""	""
"3d7.(4F).5d"	"5F"	"5"	11	""	"58591.206"	""	"0.002"	""	""
"3d7.(4F).5d"	"5F"	"4"	9	""	"58592.074"	""	"0.002"	""	""
""	"58661e"	"4"	9	""	"58661.978"	""	"0.003"	""	""
"3d6.4s.(4D).5p"	"5P*"	"3"	7	""	"58674.459"	""	"0.002"	""	""
"3d6.4s.(4D).5p"	"5P*"	"2"	5	""	"59105.296"	""	"0.002"	""	""
"3d6.4s.(4D).5p"	"5P*"	"1"	3	""	"59360.198"	""	"0.003"	""	""
"3d6.4s.(4D).4d"	"3D"	"3"	7	""	"58682.322"	""	"0.003"	""	""
"3d6.4s.(4D).4d"	"3D"	"1"	3	""	"58965.752"	""	"0.004"	""	""
"3d6.4s.(4D).4d"	"3D"	"2"	5	""	"58979.823"	""	"0.002"	""	""
"3d7.(4F<9/2>).4f"	"2[11/2]*"	"6"	13	""	"58700.540"	""	"0.002"	""	""
"3d7.(4F<9/2>).4f"	"2[11/2]*"	"5"	11	""	"58700.834"	""	"0.002"	""	""
"3d7.(4F<9/2>).4f"	"2[13/2]*"	"6"	13	""	"58702.681"	""	"0.002"	""	""
"3d7.(4F<9/2>).4f"	"2[13/2]*"	"7"	15	""	"58706.068"	""	"0.002"	""	""
"3d7.(4F<9/2>).4f"	"2[9/2]*"	"4"	9	""	"58704.913"	""	"0.002"	""	""
"3d7.(4F<9/2>).4f"	"2[9/2]*"	"5"	11	""	"58707.383"	""	"0.003"	""	""
"3d7.(4F).5d"	"5H"	"7"	15	""	"58710.811"	""	"0.05"	""	""
"3d7.(4F<9/2>).4f"	"2[7/2]*"	"4"	9	""	"58711.247"	""	"0.003"	""	""
"3d7.(4F<9/2>).4f"	"2[7/2]*"	"3"	7	""	"58714.648"	""	"0.002"	""	""
"3d7.(4F<9/2>).4f"	"2[15/2]*"	"8"	17	""	"58718.498"	""	"0.003"	""	""
"3d7.(4F<9/2>).4f"	"2[15/2]*"	"7"	15	""	"58722.564"	""	"0.003"	""	""
"3d7.(4F<9/2>).4f"	"2[5/2]*"	"3"	7	""	"58719.040"	""	"0.002"	""	""
"3d7.(4F<9/2>).4f"	"2[5/2]*"	"2"	5	""	"58723.289"	""	"0.002"	""	""
"3d6.(3H).4s.4p.(1P*)"	"3I*"	"7"	15	""	"58792.255"	""	"0.002"	""	""
"3d6.(3H).4s.4p.(1P*)"	"3I*"	"6"	13	""	"58946.732"	""	"0.003"	""	""
"3d6.(3H).4s.4p.(1P*)"	"3I*"	"5"	11	""	"59085.827"	""	"0.003"	""	""
"3d7.(4F).5d"	"3G"	"5"	11	""	"58812.015"	""	"0.05"	""	""
"3d7.(4F).5d"	"3G"	"4"	9	""	"59204.233"	""	"0.05"	""	""
""	"58831e"	"3"	7	""	"58831.230"	""	"0.003"	""	""
""	"58906e"	"4"	9	""	"58906.436"	""	"0.002"	""	""
"3d6.4s.(4D).4d"	"5S"	"2"	5	""	"58921.963"	""	"0.003"	""	""
""	"59077e"	"1"	3	""	"59077.084"	""	"0.003"	""	""
"3d6.4s.(6D<9/2>).6d"	"2[11/2]"	"6"	13	""	"59124.074"	""	"0.014"	""	""
"3d6.4s.(6D<9/2>).6d"	"2[11/2]"	"5"	11	""	"59182.72"	""	"0.02"	""	""
"3d6.4s.(6D<9/2>).6d"	"2[9/2]"	"5"	11	""	"59126.75"	""	"0.02"	""	""
"3d6.4s.(6D<9/2>).6d"	"2[9/2]"	"4"	9	""	"59133.61"	""	"0.03"	""	""
"3d6.4s.(6D<9/2>).6d"	"2[13/2]"	"6"	13	""	"59146.37"	""	"0.02"	""	""
"3d6.4s.(6D<9/2>).6d"	"2[13/2]"	"7"	15	""	"59179.134"	""	"0.01"	""	""
"3d6.4s.(4D).4d"	"3S"	"1"	3	""	"59154.662"	""	"0.007"	""	""
"3d6.4s.(6D<9/2>).6d"	"2[5/2]"	"3"	7	""	"59217.204"	""	"0.011"	""	""
"3d6.4s.(6D<9/2>).6d"	"2[7/2]"	"4"	9	""	"59235.48"	""	"0.05"	""	""
"3d6.4s.(6D<9/2>).6d"	"2[7/2]"	"3"	7	""	"59251.39"	""	"0.02"	""	""
"3d7.(4F<7/2>).4f"	"2[9/2]*"	"4"	9	""	"59262.299"	""	"0.002"	""	""
"3d7.(4F<7/2>).4f"	"2[9/2]*"	"5"	11	""	"59264.884"	""	"0.002"	""	""
"3d7.(4F<7/2>).4f"	"2[11/2]*"	"6"	13	""	"59263.923"	""	"0.003"	""	""
"3d7.(4F<7/2>).4f"	"2[11/2]*"	"5"	11	""	"59265.025"	""	"0.002"	""	""
"3d7.(4F<7/2>).4f"	"2[7/2]*"	"3"	7	""	"59265.477"	""	"0.002"	""	""
"3d7.(4F<7/2>).4f"	"2[7/2]*"	"4"	9	""	"59265.744"	""	"0.002"	""	""
"3d7.(4F<7/2>).4f"	"2[5/2]*"	"2"	5	""	"59270.158"	""	"0.002"	""	""
"3d7.(4F<7/2>).4f"	"2[5/2]*"	"3"	7	""	"59271.318"	""	"0.003"	""	""
"3d7.(4F<7/2>).4f"	"2[13/2]*"	"7"	15	""	"59271.890"	""	"0.004"	""	""
"3d7.(4F<7/2>).4f"	"2[13/2]*"	"6"	13	""	"59273.135"	""	"0.004"	""	""
"3d6.4s.(6D<9/2>).5f"	"2[11/2]*"	"6"	13	""	"59274.562"	""	"0.003"	""	""
"3d6.4s.(6D<9/2>).5f"	"2[13/2]*"	"6"	13	""	"59275.884"	""	"0.003"	""	""
"3d6.4s.(6D<9/2>).5f"	"2[13/2]*"	"7"	15	""	"59277.458"	""	"0.003"	""	""
"3d7.(4F<7/2>).4f"	"2[3/2]*"	"2"	5	""	"59276.239"	""	"0.003"	""	""
"3d6.4s.(6D<9/2>).5f"	"2[15/2]*"	"7"	15	""	"59290.37"	""	"0.02"	""	""
"3d6.4s.(6D<9/2>).5f"	"2[15/2]*"	"8"	17	""	"59290.425"	""	"0.003"	""	""
"3d6.4s.(4D).4d"	"3F"	"4"	9	""	"59301.904"	""	"0.009"	""	""
"3d6.4s.(4D).4d"	"3F"	"3"	7	""	"59522.714"	""	"0.003"	""	""
"3d6.4s.(4D).4d"	"3F"	"2"	5	""	"59815.558"	""	"0.003"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[13/2]"	"6"	13	""	"59329.646"	""	"0.004"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[13/2]"	"7"	15	""	"59329.649"	""	"0.004"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[11/2]"	"5"	11	""	"59329.895"	""	"0.003"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[11/2]"	"6"	13	""	"59329.896"	""	"0.004"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[15/2]"	"8"	17	""	"59331.273"	""	"0.005"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[15/2]"	"7"	15	""	"59331.274"	""	"0.004"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[9/2]"	"5"	11	""	"59331.290"	""	"0.004"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[9/2]"	"4"	9	""	"59331.291"	""	"0.004"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[7/2]"	"4"	9	""	"59333.259"	""	"0.004"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[7/2]"	"3"	7	""	"59333.261"	""	"0.004"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[5/2]"	"3"	7	""	"59335.320"	""	"0.003"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[5/2]"	"2"	5	""	"59335.321"	""	"0.005"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[17/2]"	"8"	17	""	"59335.72"	""	"0.02"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[17/2]"	"9"	19	""	"59335.73"	""	"0.02"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[3/2]"	"1"	3	""	"59337.082"	""	"0.005"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[3/2]"	"2"	5	""	"59337.085"	""	"0.005"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[1/2]"	"1"	3	""	"59338.259"	""	"0.007"	""	""
"3d6.4s.(6D<9/2>).5g"	"2[1/2]"	"0"	1	""	"59338.274"	""	"0.015"	""	""
""	"59390e"	"3"	7	""	"59390.684"	""	"0.007"	""	""
"3d6.4s.(6D<7/2>).6d"	"2[9/2]"	"5"	11	""	"59463.514"	""	"0.013"	""	""
"3d6.4s.(6D<7/2>).6d"	"2[9/2]"	"4"	9	""	"59532.84"	""	"0.03"	""	""
"3d6.4s.(6D<7/2>).6d"	"2[7/2]"	"4"	9	""	"59475.63"	""	"0.03"	""	""
"3d6.4s.(6D<7/2>).6d"	"2[7/2]"	"3"	7	""	"59520.304"	""	"0.011"	""	""
"3d6.(3P2).4s.4p.(1P*)"	"3S*"	"1"	3	""	"59500.628"	""	"0.003"	""	""
"3d6.4s.(6D<7/2>).6d"	"2[5/2]"	"2"	5	""	"59514.13"	""	"0.03"	""	""
"3d6.4s.(6D<7/2>).6d"	"2[5/2]"	"3"	7	""	"59538.594"	""	"0.015"	""	""
"3d6.(5D).4p2.(3P)"	"7F"	"5"	11	""	"59523.88"	""	"0.05"	""	""
"3d6.(5D).4p2.(3P)"	"7F"	"4"	9	""	"59664.704"	""	"0.017"	""	""
"3d6.(5D).4p2.(3P)"	"7F"	"2"	5	""	"60533.113"	""	"0.01"	""	""
"3d6.4s.(6D<7/2>).6d"	"2[11/2]"	"6"	13	""	"59541.124"	""	"0.015"	""	""
"3d6.4s.(6D<7/2>).6d"	"2[11/2]"	"5"	11	""	"59556.32"	""	"0.03"	""	""
"3d6.4s.(6D<7/2>).6d"	"2[3/2]"	"2"	5	""	"59569.374"	""	"0.018"	""	""
"3d6.4s.(6D<7/2>).6d"	"2[3/2]"	"1"	3	""	"59590.85"	""	"0.04"	""	""
"3d6.4s.(6D<7/2>).5f"	"2[11/2]*"	"5"	11	""	"59663.964"	""	"0.003"	""	""
"3d6.4s.(6D<7/2>).5f"	"2[13/2]*"	"7"	15	""	"59669.004"	""	"0.003"	""	""
"3d6.4s.(6D<7/2>).5f"	"2[13/2]*"	"6"	13	""	"59670.084"	""	"0.009"	""	""
"3d7.(4F<5/2>).4f"	"2[7/2]*"	"4"	9	""	"59671.467"	""	"0.002"	""	""
"3d7.(4F<5/2>).4f"	"2[7/2]*"	"3"	7	""	"59671.962"	""	"0.005"	""	""
"3d7.(4F<5/2>).4f"	"2[9/2]*"	"5"	11	""	"59671.600"	""	"0.003"	""	""
"3d7.(4F<5/2>).4f"	"2[9/2]*"	"4"	9	""	"59673.113"	""	"0.003"	""	""
"3d7.(4F<5/2>).4f"	"2[5/2]*"	"3"	7	""	"59679.235"	""	"0.002"	""	""
"3d7.(4F<5/2>).4f"	"2[5/2]*"	"2"	5	""	"59680.306"	""	"0.005"	""	""
"3d7.(4F<5/2>).4f"	"2[11/2]*"	"5"	11	""	"59682.173"	""	"0.004"	""	""
"3d7.(4F<5/2>).4f"	"2[3/2]*"	"2"	5	""	"59687.418"	""	"0.002"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[11/2]"	"5"	11	""	"59716.796"	""	"0.003"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[11/2]"	"6"	13	""	"59716.797"	""	"0.004"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[9/2]"	"5"	11	""	"59716.940"	""	"0.004"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[9/2]"	"4"	9	""	"59716.948"	""	"0.004"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[13/2]"	"6"	13	""	"59717.083"	""	"0.004"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[13/2]"	"7"	15	""	"59717.088"	""	"0.005"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[7/2]"	"3"	7	""	"59717.321"	""	"0.004"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[7/2]"	"4"	9	""	"59717.329"	""	"0.004"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[5/2]"	"2"	5	""	"59717.763"	""	"0.004"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[5/2]"	"3"	7	""	"59717.768"	""	"0.004"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[15/2]"	"7"	15	""	"59717.944"	""	"0.01"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[15/2]"	"8"	17	""	"59717.945"	""	"0.007"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[3/2]"	"2"	5	""	"59718.134"	""	"0.013"	""	""
"3d6.4s.(6D<7/2>).5g"	"2[3/2]"	"1"	3	""	"59718.134"	""	"0.015"	""	""
"3d6.4s.(6D<5/2>).6d"	"2[9/2]"	"5"	11	""	"59718.724"	""	"0.01"	""	""
"3d6.4s.(6D<5/2>).6d"	"2[9/2]"	"4"	9	""	"59725.904"	""	"0.013"	""	""
"3d6.4s.(6D<5/2>).6d"	"2[1/2]"	"1"	3	""	"59729.17"	""	"0.03"	""	""
"3d6.4s.(6D<5/2>).6d"	"2[3/2]"	"1"	3	""	"59766.92"	""	"0.02"	""	""
"3d6.4s.(6D<5/2>).6d"	"2[3/2]"	"2"	5	""	"59780.484"	""	"0.01"	""	""
"3d6.4s.(6D<5/2>).6d"	"2[5/2]"	"3"	7	""	"59820.664"	""	"0.017"	""	""
"3d6.4s.(6D<5/2>).6d"	"2[5/2]"	"2"	5	""	"59843.564"	""	"0.014"	""	""
"3d6.4s.(6D<5/2>).6d"	"2[7/2]"	"4"	9	""	"59878.64"	""	"0.04"	""	""
"3d6.4s.(6D<5/2>).6d"	"2[7/2]"	"3"	7	""	"59886.70"	""	"0.03"	""	""
"3d7.(4F<3/2>).4f"	"2[7/2]*"	"4"	9	""	"59947.023"	""	"0.002"	""	""
"3d7.(4F<3/2>).4f"	"2[7/2]*"	"3"	7	""	"59947.324"	""	"0.003"	""	""
"3d7.(4F<3/2>).4f"	"2[5/2]*"	"2"	5	""	"59947.766"	""	"0.003"	""	""
