Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Lande	Reference
"3p5.4s.(1P*).30s"	"2P*"	"1/2,3/2"	6	""	"201324"	""	"3"	""	"L6851"
"3p5.4s.(1P*).29d"	"2P*"	"1/2,3/2"	6	""	"201324"	""	"3"	""	"L6851"
"3p5.4s.(1P*).31s"	"2P*"	"1/2,3/2"	6	""	"201336"	""	"3"	""	"L6851"
"3p5.4s.(1P*).30d"	"2P*"	"1/2,3/2"	6	""	"201336"	""	"3"	""	"L6851"
"3p5.4s.(1P*).32s"	"2P*"	"1/2,3/2"	6	""	"201346"	""	"3"	""	"L6851"
"3p5.4s.(1P*).31d"	"2P*"	"1/2,3/2"	6	""	"201346"	""	"3"	""	"L6851"
"3p5.4s.(1P*).33s"	"2P*"	"1/2,3/2"	6	""	"201356"	""	"3"	""	"L6851"
"3p5.4s.(1P*).32d"	"2P*"	"1/2,3/2"	6	""	"201356"	""	"3"	""	"L6851"
"K II (3p5.4s 1P*<1>)"	"Limit"	"---"		""	"201467.1"	""	"0.1"	""	"L12188"
"3p5.3d.(1P*).5s"	"2P*"	"1/2,3/2"	6	""	"214059"	""	"3"	""	"L6851"
"3p5.3d.(1P*).11s"	"2P*"	"1/2,3/2"	6	""	"235452"	""	"4"	""	"L6851"
"3p5.3d.(1P*).12s"	"2P*"	"1/2,3/2"	6	""	"235723"	""	"4"	""	"L6851"
"3p5.3d.(1P*).13s"	"2P*"	"1/2,3/2"	6	""	"235926"	""	"4"	""	"L6851"
"3p5.3d.(1P*).14s"	"2P*"	"1/2,3/2"	6	""	"236070"	""	"4"	""	"L6851"
"3p5.3d.(1P*).15s"	"2P*"	"1/2,3/2"	6	""	"236198"	""	"4"	""	"L6851"
"3p5.3d.(1P*).16s"	"2P*"	"1/2,3/2"	6	""	"236300"	""	"4"	""	"L6851"
"3p5.3d.(1P*).17s"	"2P*"	"1/2,3/2"	6	""	"236383"	""	"4"	""	"L6851"
"3p5.3d.(1P*).18s"	"2P*"	"1/2,3/2"	6	""	"236457"	""	"4"	""	"L6851"
"3p5.3d.(1P*).19s"	"2P*"	"1/2,3/2"	6	""	"236517"	""	"4"	""	"L6851"
"3p5.3d.(1P*).20s"	"2P*"	"1/2,3/2"	6	""	"236569"	""	"4"	""	"L6851"
"3p5.3d.(1P*).21s"	"2P*"	"1/2,3/2"	6	""	"236612"	""	"4"	""	"L6851"
"3p5.3d.(1P*).22s"	"2P*"	"1/2,3/2"	6	""	"236649"	""	"4"	""	"L6851"
"3p5.3d.(1P*).23s"	"2P*"	"1/2,3/2"	6	""	"236678"	""	"4"	""	"L6851"
"K II (3p5.3d 1P*<1>)"	"Limit"	"---"		""	"236967.4"	""	"0.2"	""	"L12188"
