Configuration	Term	J	g	Prefix	Level (cm-1)	Suffix	Uncertainty (cm-1)	Leading percentages	Reference
"2p5.(2P*).3s.3p.(3P*)"	"2D"	"5/2"	6	""	"270196"	""	"13"	"  78                                               :    15                        4P          "	""
"2p5.(2P*).3s.3p.(3P*)"	"2P"	"1/2"	2	""	"270582"	""	"13"	"  94                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"2P"	"3/2"	4	""	"270877"	""	"13"	"  92                                                                                          "	""
"2p5.(2P*).3s.3p.(3P*)"	"2S"	"1/2"	2	""	"273236"	""	"13"	"  82                                               :    12  2p5.(2P*).3s.3p.(1P*) 2S          "	""
"2p5.(2P*).3s.3p.(1P*)"	"2D"	"5/2"	6	""	"280596"	""	"14"	"  86                                               :     5  2p5.3s.(3P*).4p       2D          "	""
"2p5.(2P*).3s.3p.(1P*)"	"2D"	"3/2"	4	""	"282076"	""	"14"	"  39                                               :    45                        2P          "	""
"2p5.(2P*).3s.3p.(1P*)"	"2S"	"1/2"	2	""	"280778"	""	"14"	"  62                                               :    10  2p5.3s.(3P*).4p       2S          "	""
"2p5.(2P*).3s.3p.(1P*)"	"2P"	"3/2"	4	""	"281019"	""	"14"	"  38                                               :    47                        2D          "	""
"2p5.(2P*).3s.3p.(1P*)"	"2P"	"1/2"	2	""	"282332"	""	"14"	"  73                                               :     9                        2S          "	""
"2p5.3s.(3P*).4s"	"4P*"	"5/2"	6	""	"286300.4"	""	"3.8"	"  99                                                                                          "	""
"2p5.3s.(3P*).4s"	"4P*"	"3/2"	4	""	"286849.5"	""	"3.8"	"  87                                           or  :    55  2p5.3s.(3P*<1>).4s    2[1]*       "	""
"2p5.3s.(3P*).4s"	"4P*"	"1/2"	2	""	"287374.8"	""	"3.8"	"  87                                           or  :    56  2p5.3s.(3P*<1>).4s    2[1]*       "	""
"2p5.3s.(3P*).4s"	"2P*"	"3/2"	4	""	"288452"	""	"7"	"  86                                           or  :    52  2p5.3s.(3P*<2>).4s    2[2]*       "	""
"2p5.3s.(3P*).4s"	"2P*"	"1/2"	2	""	"288642"	""	"17"	"  62                                           or  :    53  2p5.3s.(3P*<0>).4s    2[0]*       "	""
"2p5.3s.(3P*).3d"	"2P*"	"1/2"	2	""	"290234"	""	"7"	"  67                                           or  :    35  2p5.3s.(3P*<2>).3d    2[1]*       "	""
"2p5.3s.(3P*).3d"	"2P*"	"3/2"	4	""	"290489"	""	"7"	"  44                                           or  :    40  2p5.3s.(3P*<2>).3d    2[2]*       "	""
"2p5.3s.(1P*).4s"	"2P*"	"3/2"	4	""	"290786"	""	"7"	"  89                                           or  :    89  2p5.3s.(1P*<1>).4s    2[1]*       "	""
"2p5.3s.(1P*).4s"	"2P*"	"1/2"	2	""	"291380"	""	"7"	"  68                                           or  :    68  2p5.3s.(1P*<1>).4s    2[1]*       "	""
"2p5.3s.(3P*).3d"	"2D*"	"3/2"	4	""	"292090"	""	"17"	"  51                                           or  :    29  2p5.3s.(3P*<1>).3d    2[1]*       "	""
"2p5.3s.(3P*).3d"	"4P*"	"1/2"	2	""	"292219.6"	""	"3.9"	"  94                                           or  :    62  2p5.3s.(3P*<2>).3d    2[0]*       "	""
"2p5.3s.(3P*).3d"	"4P*"	"3/2"	4	""	"292289.2"	""	"3.9"	"  77                                           or  :    73  2p5.3s.(3P*<2>).3d    2[1]*       "	""
"2p5.3s.(3P*).3d"	"4F*"	"9/2"	10	""	"292340.6"	""	"4.1"	"  99                                           or  :    99  2p5.3s.(3P*<2>).3d    2[4]*       "	""
"2p5.3s.(3P*).3d"	"4F*"	"7/2"	8	""	"292449.7"	""	"3.9"	"  53                                           or  :    84  2p5.3s.(3P*<2>).3d    2[3]*       "	""
"2p5.3s.(3P*).3d"	"4F*"	"5/2"	6	""	"292913.9"	""	"3.9"	"  56                                           or  :    57  2p5.3s.(3P*<1>).3d    2[2]*       "	""
"2p5.3s.(3P*).3d"	"4F*"	"3/2"	4	""	"293528"	""	"4.3"	"  58                                           or  :    61  2p5.3s.(3P*<0>).3d    2[2]*       "	""
"2p5.3s.(3P*).3d"	"4D*"	"5/2"	6	""	"292399.4"	""	"3.9"	"  48                                           or  :    81  2p5.3s.(3P*<2>).3d    2[2]*       "	""
"2p5.3s.(3P*).3d"	"4D*"	"3/2"	4	""	"293010.3"	""	"3.9"	"  43                                           or  :    37  2p5.3s.(3P*<1>).3d    2[2]*       "	""
"2p5.3s.(3P*).3d"	"4D*"	"1/2"	2	""	"293133.1"	""	"4.0"	"  87                                           or  :    71  2p5.3s.(3P*<1>).3d    2[1]*       "	""
